"","Tweets","Category"
"1","thank you for sending us your crns and showing us your interest for olaselect yesterday well get in touch with our winners sholy","Positive"
"2","
worry not autoconnect lure mode in all olacabs is on its way","Negative"
"3","kabaliday","Negative"
"4","were in do let us know how we can help","Negative"
"5","done","Negative"
"6","fridayfeeling kicking in
if you need a car for your weekend exploits book olarentals
","Negative"
"7","well traffic is annoying but ridesharing would help to reduce the cars on road amp less carsless traffic olashare","Positive"
"8","check your mailbox to find out your ecofriendly quotient olashare","Negative"
"9","stuck cos of the bmtcstrike let us know we might be able to help you bangalore","Negative"
"10","theres enough for everyone catch em all on your app","Negative"
"11","hey when you get an auto upgradeyou pay for the ride you have chosen you just enjoy the ride","Positive"
"12","there are no extra payments but if you feel that youve been charged wrongly please share the paicular invoice with us","Positive"
"13","happy to hear we could help staysafe","Positive"
"14","thats a chat wed love to have eavesdropped into kabali","Positive"
"15","wed be happy to help anyone affected by the strike let us know","Negative"
"16","icymi how to ride ola share like a boss olashare 
ps also its 50 less than regular cab fares ftw
","Positive"
"17","theres ridesharing it keeps more cars off the road olashare","Negative"
"18","mumbai win an allexpensepaid trip to dubai interested find out more","Positive"
"19","hey nikita we have dmed you a little something to help with your travel back home bmtcstrike","Negative"
"20","this is why wed like to encourage more people to share their daily rides with others headed in the same direction olashare","Positive"
"21","we do care can you tell us what happened we will so it out for you","Positive"
"22","dont mess with pog stay connected always olaprime autoconnect","Negative"
"23","sounds like the purrfect ride","Positive"
"24","ah we wish","Positive"
"25","hey write to us at alliancescom and well connect you to the right people","Positive"
"26","want a luxury ride at your disposal through the weekend follow andto get the contest staed rentalux","Positive"
"27","contest stas in 10 minutes as always follow us andthe contest tweet to paicipate in the contest rentalux","Negative"
"28","tag your friend and convince us why heshe should have a ride of luxury over the weekend rentalux","Positive"
"29","well gift a rented ola lux over the weekend on your behalf to your friend to the most convincing tweet rentalux","Positive"
"30","larissa congrats on that rentalux","Positive"
"31","doesreciprocate your feelings of friendship rentalux","Positive"
"32","friend needs some swag get him an olalux ride for the whole weekend tell us why he deserves it rentalux","Positive"
"33","sorry buddy you have to tag a friend rentalux","Positive"
"34","then you should quickly convince a friend to paicipate and win it for yourentalux","Positive"
"35","all bihdays must be celebratedhappy belated bihday buddy rentalux","Positive"
"36","oops looks like you forgot to tag your friend rentalux","Positive"
"37","thats so wonderfulcongrats to herbut it looks like you forgot to tag her to your tweet rentalux","Positive"
"38","wow thats deep tejas tag her to the tweet to get a chance to gift her that luxury over the weekend","Positive"
"39","contest ale luxury rides for the entire weekend to be wonrentalux","Positive"
"40","happiest bihday to mikesh 
 
you guys should rentalux for","Negative"
"41","youve been tagged keep your fingers crossed rentalux","Negative"
"42","awesome congrats","Positive"
"43","thats so sweet of you and congratzon becoming a ceified digital marketerrentalux","Positive"
"44","well he does deserve some much needed pampering good luck and dont forget to tag your hubbys twitter handle in your response","Positive"
"45","this could be your ride this weekend for two full days get a friend to convince us you need it rentalux","Positive"
"46","that would indeed be awesome good luckrentalux","Positive"
"47","a really lucky guy theres a lot happening in his liferentalux","Positive"
"48","of course autoconnect wifi ftw rentalux","Negative"
"49","rentalux maybe","Negative"
"50","the contest has been extended till tomorrow keep the replies coming in folks and make your friends weekend truly memorable rentalux","Positive"
"51","hi nikita well not be able to extend the given coupon however weve sent you a small gift on dm","Positive"
"52","and for those who just cant wait till then you can rent an olalux from your ola app right away rentalux","Positive"
"53","the wifi inis a blessing in traffic jams productive time even when stuck keep up the innovations staupindia","Positive"
"54","reasonstorideprime so you can try every single prisma filter to pick out the best one for your dp autoconnectwifi","Positive"
"55","autoconnectwifi allows riders to connect to wifi in any ola cab just by entering their mobile no as password","Negative"
"56","and its a onetime sign in you will be automatically connected to the internet in all your subsequent rides","Negative"
"57","thank you these words of encouragement for autoconnectwifiour engineers are beaming with pride olaprime","Positive"
"58","okay lure mode coming soon","Negative"
